" ";j2,j4,j6,j8,j10,j12,j14,j16,j18,j20,j22,j24,j26,g2,g4,g6,g8,g10,g12,g14,g16,g18,g20,g22,g24,g26,f2,f4,f6,f8,f10,f12,f14,f16,f18,f20,f22,f24,f26,a2,a4,a6,a8,a10,a12,a14,a16,a18,a20,a22,a24,a26,s2,s4,s6,s8,s10,s12,s14,s16,s18,s20,s22,s24,s26,n2,n4,n6,n8,n10,n12,n14,n16,n18,n20,n22,n24,n26
f26;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.296,1.349,1.225,1.281,1.288,1.158,1.208,1.273,1.140,1.149,1.208,1.068,1.131,1.020,1.122,0.970,1.077,1.049,0.883,0.990,1.105,0.949,0.917,1.030,0.860,0.980,0.748,0.787,0.678,0.721,0.735,0.616,0.648,0.707,0.583,0.600,0.648,0.510,0.566
a2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200,0.141,0.141,0.141,0.245,0.245,0.200,0.245,0.245,0.283,0.566,0.648,0.648,0.721,0.648,0.648,0.707,0.787,0.787,0.721,0.787,0.787,0.849,0.566,0.510,0.648,0.600,0.583,0.707,0.648,0.616,0.735,0.721,0.678,0.787,0.748
a4;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.141,0.245,0.141,0.141,0.245,0.245,0.200,0.283,0.245,0.510,0.566,0.600,0.648,0.583,0.616,0.648,0.707,0.735,0.678,0.721,0.748,0.787,0.648,0.566,0.721,0.648,0.648,0.787,0.707,0.648,0.787,0.787,0.721,0.849,0.787
a6;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.245,0.141,0.141,0.245,0.141,0.245,0.283,0.200,0.245,0.510,0.600,0.566,0.648,0.616,0.583,0.648,0.735,0.707,0.678,0.748,0.721,0.787,0.510,0.447,0.566,0.510,0.548,0.648,0.583,0.548,0.648,0.678,0.632,0.721,0.678
a8;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141,0.141,0.283,0.245,0.245,0.200,0.447,0.510,0.510,0.566,0.548,0.548,0.583,0.648,0.648,0.632,0.678,0.678,0.721,0.600,0.510,0.648,0.566,0.616,0.735,0.648,0.583,0.707,0.748,0.678,0.787,0.721
a10;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.200,0.283,0.141,0.141,0.245,0.245,0.510,0.583,0.616,0.678,0.566,0.600,0.648,0.721,0.748,0.648,0.707,0.735,0.787,0.583,0.510,0.678,0.616,0.566,0.721,0.648,0.600,0.748,0.707,0.648,0.787,0.735
a12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.283,0.200,0.141,0.245,0.141,0.245,0.510,0.616,0.583,0.678,0.600,0.566,0.648,0.748,0.721,0.648,0.735,0.707,0.787,0.424,0.374,0.510,0.469,0.447,0.566,0.510,0.490,0.600,0.583,0.548,0.648,0.616
a14;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.141,0.141,0.141,0.141,0.424,0.510,0.510,0.583,0.510,0.510,0.566,0.648,0.648,0.583,0.648,0.648,0.707,0.510,0.424,0.583,0.510,0.510,0.648,0.566,0.510,0.648,0.648,0.583,0.707,0.648
a16;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.245,0.141,0.245,0.141,0.374,0.424,0.469,0.510,0.447,0.490,0.510,0.566,0.600,0.548,0.583,0.616,0.648,0.616,0.510,0.678,0.583,0.600,0.748,0.648,0.566,0.721,0.735,0.648,0.787,0.707
a18;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141,0.374,0.469,0.424,0.510,0.490,0.447,0.510,0.600,0.566,0.548,0.616,0.583,0.648,0.469,0.374,0.510,0.424,0.490,0.600,0.510,0.447,0.566,0.616,0.548,0.648,0.583
a20;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200,0.447,0.548,0.548,0.632,0.510,0.510,0.583,0.678,0.678,0.566,0.648,0.648,0.721,0.447,0.374,0.548,0.490,0.424,0.583,0.510,0.469,0.616,0.566,0.510,0.648,0.600
